participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,correctResp,response,acc,rt,target,distractor
14,4,P5,D,processing,#c2245b,#FFFFFF,image293,image255,NA,left,left,TRUE,1639.5999999046326,NA,NA
14,4,P6,D,processing,#a30a54,#FFFFFF,image99,image186,NA,right,right,TRUE,1483.8999999761581,NA,NA
14,4,P6,D,processing,#1e14b3,#FFFFFF,image21,image142,NA,left,left,TRUE,1452.0999999046326,NA,NA
14,4,P6,D,processing,#306e43,#FFFFFF,image392,image150,NA,left,left,TRUE,1577.5,NA,NA
14,4,P6,D,processing,#FFFFFF,#9dae2d,image412,image385,NA,right,right,TRUE,2252.5,NA,NA
14,4,P7,D,processing,#FFFFFF,#338e65,image19,image176,NA,right,right,TRUE,1528.1000000238419,NA,NA
14,4,P7,D,processing,#311f7a,#FFFFFF,image403,image57,NA,left,left,TRUE,1344.8999999761581,NA,NA
14,4,P7,D,processing,#FFFFFF,#95b927,image308,image32,NA,right,right,TRUE,1757.7999999523163,NA,NA
14,4,P7,D,processing,#FFFFFF,#bd0f32,image300,image381,NA,left,left,TRUE,1642,NA,NA
14,4,P8,D,processing,#1e4ed2,#FFFFFF,image399,image328,NA,right,left,FALSE,1453.3999999761581,NA,NA
14,4,P8,D,processing,#a80ba3,#FFFFFF,image248,image86,NA,left,left,TRUE,1558.3999999761581,NA,NA
14,4,P8,D,processing,#ab783b,#FFFFFF,image106,image35,NA,right,right,TRUE,1715.3999999761581,NA,NA
14,4,P8,D,processing,#317240,#FFFFFF,image157,image273,NA,right,left,FALSE,2100.1999999284744,NA,NA
14,4,P9,D,processing,#1d66af,#FFFFFF,image72,image240,NA,right,right,TRUE,1728.3000000715256,NA,NA
14,4,P9,D,processing,#FFFFFF,#8c30b0,image269,image147,NA,left,left,TRUE,2284.1999999284744,NA,NA
14,4,P9,D,processing,#FFFFFF,#1ec20f,image78,image155,NA,left,left,TRUE,1448.8999999761581,NA,NA
14,4,P9,D,processing,#FFFFFF,#8e461f,image153,image391,NA,right,right,TRUE,2279.7999999523163,NA,NA
14,4,P10,D,processing,#1d9124,#FFFFFF,image308,image155,NA,right,left,FALSE,1685.2999999523163,NA,NA
14,4,P10,D,processing,#265378,#FFFFFF,image57,image43,NA,right,right,TRUE,1832.8999999761581,NA,NA
14,4,P10,D,processing,#8f7e42,#FFFFFF,image88,image280,NA,right,right,TRUE,1780,NA,NA
14,4,P10,D,processing,#a82490,#FFFFFF,image29,image73,NA,left,left,TRUE,1855.1000000238419,NA,NA
14,4,P11,D,processing,#a34d97,#FFFFFF,image385,image100,NA,left,left,TRUE,1661.1000000238419,NA,NA
14,4,P11,D,processing,#FFFFFF,#365178,image119,image390,NA,right,right,TRUE,2076.899999976158,NA,NA
14,4,P11,D,processing,#26c042,#FFFFFF,image250,image197,NA,right,right,TRUE,1759.6000000238419,NA,NA
14,4,P11,D,processing,#FFFFFF,#8e5d2e,image216,image1,NA,left,left,TRUE,1471,NA,NA
14,4,P12,D,processing,#822766,#FFFFFF,image63,image18,NA,left,left,TRUE,1463.6000000238419,NA,NA
14,4,P12,D,processing,#FFFFFF,#9f8f32,image266,image418,NA,right,right,TRUE,1765.6999999284744,NA,NA
14,4,P12,D,processing,#0d3ca0,#FFFFFF,image181,image192,NA,left,left,TRUE,2308.899999976158,NA,NA
