participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,response,acc,rt
2,2,P19,C,processing,#2c5c7d,#FFFFFF,image152,image26,NA,left,TRUE,1053.1999999997206
2,2,P19,C,processing,#976f3f,#FFFFFF,image32,image26,NA,left,TRUE,657.5
2,2,P20,C,processing,#FFFFFF,#8a9726,image26,image91,NA,right,TRUE,733.2999999998137
2,2,P20,C,processing,#FFFFFF,#32a985,image26,image239,NA,left,TRUE,1036.2999999998137
2,2,P20,C,processing,#3c20a2,#FFFFFF,image38,image26,NA,right,TRUE,806.7000000001863
2,2,P20,C,processing,#FFFFFF,#73263c,image26,image317,NA,left,TRUE,1302
2,2,P21,C,processing,#FFFFFF,#2ba725,image26,image52,NA,right,TRUE,807.9000000003725
2,2,P21,C,processing,#b116d0,#FFFFFF,image63,image26,NA,left,TRUE,721.3000000002794
2,2,P21,C,processing,#20607e,#FFFFFF,image263,image26,NA,right,TRUE,1004.1999999997206
2,2,P21,C,processing,#834516,#FFFFFF,image421,image26,NA,right,TRUE,615.6999999997206
2,2,P22,C,processing,#FFFFFF,#16d082,image26,image397,NA,left,TRUE,1217.9000000003725
2,2,P22,C,processing,#c09b16,#FFFFFF,image17,image26,NA,right,TRUE,835.1000000000931
2,2,P22,C,processing,#233076,#FFFFFF,image94,image26,NA,right,TRUE,636.6999999997206
2,2,P22,C,processing,#FFFFFF,#ab126b,image26,image410,NA,left,TRUE,1060.6000000000931
2,2,P23,C,processing,#FFFFFF,#920aa4,image26,image103,NA,right,TRUE,772.6000000000931
2,2,P23,C,processing,#FFFFFF,#25d425,image26,image266,NA,left,TRUE,887.3999999999069
2,2,P23,C,processing,#FFFFFF,#a4520e,image26,image14,NA,left,TRUE,783.1000000000931
2,2,P23,C,processing,#FFFFFF,#156b9d,image26,image199,NA,left,TRUE,666.8999999999069
2,2,P24,C,processing,#b6921b,#FFFFFF,image152,image26,NA,left,TRUE,652.8999999999069
2,2,P24,C,processing,#FFFFFF,#b941af,image26,image370,NA,left,FALSE,1589.2999999998137
2,2,P24,C,processing,#FFFFFF,#21841f,image26,image186,NA,right,TRUE,917.7000000001863
2,2,P24,C,processing,#1443db,#FFFFFF,image321,image26,NA,left,TRUE,781.8999999999069
2,2,P25,C,processing,#47679e,#FFFFFF,image363,image26,NA,right,TRUE,897.2000000001863
2,2,P25,C,processing,#775822,#FFFFFF,image40,image26,NA,left,TRUE,894.6999999997206
2,2,P25,C,processing,#a72a9f,#FFFFFF,image290,image26,NA,right,TRUE,836.5
2,2,P25,C,processing,#328b35,#FFFFFF,image138,image26,NA,right,TRUE,663.1000000000931
2,2,1,C,memory-resp,#FFFFFF,#22b45f,image26,image276,NA,right,TRUE,2439.899999999907
2,2,1,C,memory-resp,#b38323,#FFFFFF,image364,image26,NA,NULL,FALSE,NA
2,2,1,C,memory-resp,#c00c99,#FFFFFF,image120,image26,NA,left,TRUE,1476.6000000000931
2,2,1,C,memory-resp,#2a4cb2,#FFFFFF,image89,image26,NA,right,TRUE,1408.7000000001863
2,2,1,C,retrieval,NA,NA,NA,NA,image120,image120,TRUE,2032
2,2,1,C,retrieval,NA,NA,NA,NA,image364,image364,TRUE,7634.100000000093
2,2,1,C,retrieval,NA,NA,NA,NA,image89,image89,TRUE,750.7000000001863
2,2,1,C,retrieval,NA,NA,NA,NA,image276,image276,TRUE,927.6000000000931
2,2,2,C,memory-resp,#41c11a,#FFFFFF,image140,image26,NA,right,TRUE,1483.8000000002794
2,2,2,C,memory-resp,#226296,#FFFFFF,image385,image26,NA,left,TRUE,1291.8999999999069
2,2,2,C,memory-resp,#FFFFFF,#705038,image26,image347,NA,right,TRUE,1158.1000000000931
2,2,2,C,memory-resp,#81319b,#FFFFFF,image195,image26,NA,left,TRUE,843.2000000001863
2,2,2,C,retrieval,NA,NA,NA,NA,image385,image385,TRUE,4654.600000000093
2,2,2,C,retrieval,NA,NA,NA,NA,image140,image140,TRUE,1079.0999999996275
2,2,2,C,retrieval,NA,NA,NA,NA,image195,image347,FALSE,3197.9000000003725
2,2,2,C,retrieval,NA,NA,NA,NA,image347,image195,FALSE,573.3000000002794
2,2,3,C,memory-resp,#FFFFFF,#989d53,image26,image273,NA,NULL,FALSE,NA
2,2,3,C,memory-resp,#ac2a7a,#FFFFFF,image77,image26,NA,right,FALSE,1560.0999999996275
