participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,correctResp,response,acc,rt,target,distractor
13,1,2,B,retrieval,NA,NA,NA,NA,image31,NA,image31,TRUE,1627.1000000238419,image31,image26
13,1,2,B,retrieval,NA,NA,NA,NA,image199,NA,image199,TRUE,7000.600000023842,image199,image26
13,1,3,B,memory-resp,#FFFFFF,#88115e,image26,image44,NA,left,left,TRUE,925.6000000238419,image44,image26
13,1,3,B,memory-resp,#FFFFFF,#36b564,image26,image236,NA,left,left,TRUE,1446,image236,image26
13,1,3,B,memory-resp,#294b94,#FFFFFF,image60,image26,NA,right,right,TRUE,1543.8999999761581,image60,image26
13,1,3,B,memory-resp,#FFFFFF,#bc9338,image26,image88,NA,left,left,TRUE,804.8999999761581,image88,image26
13,1,3,B,retrieval,NA,NA,NA,NA,image44,NA,image44,TRUE,1342.7000000476837,image44,image26
13,1,3,B,retrieval,NA,NA,NA,NA,image88,NA,image88,TRUE,4336.100000023842,image88,image26
13,1,3,B,retrieval,NA,NA,NA,NA,image60,NA,image60,TRUE,3387.1999999284744,image60,image26
13,1,3,B,retrieval,NA,NA,NA,NA,image236,NA,image236,TRUE,1031,image236,image26
13,1,4,B,memory-resp,#FFFFFF,#88451b,image26,image186,NA,left,left,TRUE,1340.2000000476837,image186,image26
13,1,4,B,memory-resp,#ca2bc5,#FFFFFF,image176,image26,NA,right,right,TRUE,1237.8999999761581,image176,image26
13,1,4,B,memory-resp,#FFFFFF,#45823a,image26,image76,NA,left,left,TRUE,1028.7000000476837,image76,image26
13,1,4,B,memory-resp,#10478e,#FFFFFF,image327,image26,NA,right,right,TRUE,1293.8999999761581,image327,image26
13,1,4,B,retrieval,NA,NA,NA,NA,image186,NA,image186,TRUE,3726.399999976158,image186,image26
13,1,4,B,retrieval,NA,NA,NA,NA,image76,NA,image76,TRUE,1761.5,image76,image26
13,1,4,B,retrieval,NA,NA,NA,NA,image327,NA,image327,TRUE,2336.2000000476837,image327,image26
13,1,4,B,retrieval,NA,NA,NA,NA,image176,NA,image176,TRUE,1506.3999999761581,image176,image26
13,1,5,B,memory-resp,#9810c1,#FFFFFF,image120,image26,NA,right,right,TRUE,1216.1000000238419,image120,image26
13,1,5,B,memory-resp,#62b234,#FFFFFF,image62,image26,NA,right,right,TRUE,1097.7999999523163,image62,image26
13,1,5,B,memory-resp,#FFFFFF,#15acb7,image26,image369,NA,left,left,TRUE,1089.1000000238419,image369,image26
13,1,5,B,memory-resp,#FFFFFF,#865841,image26,image317,NA,left,left,TRUE,1297.2999999523163,image317,image26
13,1,5,B,retrieval,NA,NA,NA,NA,image62,NA,image62,TRUE,1790.1000000238419,image62,image26
13,1,5,B,retrieval,NA,NA,NA,NA,image120,NA,image120,TRUE,2216.7000000476837,image120,image26
13,1,5,B,retrieval,NA,NA,NA,NA,image369,NA,image369,TRUE,2193.899999976158,image369,image26
13,1,5,B,retrieval,NA,NA,NA,NA,image317,NA,image317,TRUE,1223.8000000715256,image317,image26
13,1,6,B,memory-resp,#3e8e33,#FFFFFF,image261,image26,NA,right,right,TRUE,1036.5,image261,image26
13,1,6,B,memory-resp,#b635bb,#FFFFFF,image228,image26,NA,right,right,TRUE,811.5,image228,image26
13,1,6,B,memory-resp,#FFFFFF,#826345,image26,image134,NA,left,left,TRUE,1093.8999999761581,image134,image26
13,1,6,B,memory-resp,#349ac5,#FFFFFF,image294,image26,NA,right,right,TRUE,829.2999999523163,image294,image26
13,1,6,B,retrieval,NA,NA,NA,NA,image228,NA,image228,TRUE,3344.5,image228,image26
13,1,6,B,retrieval,NA,NA,NA,NA,image261,NA,image261,TRUE,4202.100000023842,image261,image26
13,1,6,B,retrieval,NA,NA,NA,NA,image134,NA,image134,TRUE,2274.899999976158,image134,image26
13,1,6,B,retrieval,NA,NA,NA,NA,image294,NA,image294,TRUE,772.8999999761581,image294,image26
13,1,7,B,memory-resp,#53b33d,#FFFFFF,image133,image26,NA,right,right,TRUE,1180.7999999523163,image133,image26
13,1,7,B,memory-resp,#FFFFFF,#855095,image26,image123,NA,left,left,TRUE,965.9000000953674,image123,image26
13,1,7,B,memory-resp,#216582,#FFFFFF,image391,image26,NA,right,right,TRUE,909,image391,image26
13,1,7,B,memory-resp,#FFFFFF,#bc3e10,image26,image39,NA,left,left,TRUE,848,image39,image26
13,1,7,B,retrieval,NA,NA,NA,NA,image133,NA,image133,TRUE,2638,image133,image26
13,1,7,B,retrieval,NA,NA,NA,NA,image39,NA,image39,TRUE,3813,image39,image26
13,1,7,B,retrieval,NA,NA,NA,NA,image391,NA,image391,TRUE,2275.600000023842,image391,image26
13,1,7,B,retrieval,NA,NA,NA,NA,image123,NA,image123,TRUE,1462.5,image123,image26
13,1,8,B,memory-resp,#FFFFFF,#366d69,image26,image130,NA,left,left,TRUE,1933.8999999761581,image130,image26
13,1,8,B,memory-resp,#FFFFFF,#b03230,image26,image355,NA,left,left,TRUE,950.7000000476837,image355,image26
13,1,8,B,memory-resp,#FFFFFF,#6011e8,image26,image286,NA,left,left,TRUE,1059,image286,image26
13,1,8,B,memory-resp,#7fd416,#FFFFFF,image152,image26,NA,right,right,TRUE,1158.7000000476837,image152,image26
13,1,8,B,retrieval,NA,NA,NA,NA,image286,NA,image152,FALSE,4664.5,image286,image26
13,1,8,B,retrieval,NA,NA,NA,NA,image355,NA,image355,TRUE,1219.4000000953674,image355,image26
13,1,8,B,retrieval,NA,NA,NA,NA,image130,NA,NULL,FALSE,NA,image130,image26
13,1,8,B,retrieval,NA,NA,NA,NA,image152,NA,image130,FALSE,1175.1000000238419,image152,image26
13,1,9,B,memory-resp,#86272c,#FFFFFF,image292,image26,NA,right,right,TRUE,1416.6999999284744,image292,image26
13,1,9,B,memory-resp,#2d6c6c,#FFFFFF,image193,image26,NA,right,right,TRUE,971.2999999523163,image193,image26
13,1,9,B,memory-resp,#FFFFFF,#54376c,image26,image63,NA,left,left,TRUE,852.3000000715256,image63,image26
13,1,9,B,memory-resp,#FFFFFF,#5d7637,image26,image4,NA,left,left,TRUE,790.2000000476837,image4,image26
13,1,9,B,retrieval,NA,NA,NA,NA,image193,NA,image193,TRUE,1736.7999999523163,image193,image26
13,1,9,B,retrieval,NA,NA,NA,NA,image4,NA,image4,TRUE,5676.5,image4,image26
13,1,9,B,retrieval,NA,NA,NA,NA,image292,NA,image292,TRUE,1510.5,image292,image26
13,1,9,B,retrieval,NA,NA,NA,NA,image63,NA,image63,TRUE,1572,image63,image26
13,1,10,B,memory-resp,#FFFFFF,#925e2a,image26,image321,NA,left,left,TRUE,1163.2999999523163,image321,image26
13,1,10,B,memory-resp,#FFFFFF,#366db5,image26,image173,NA,left,left,TRUE,958.8999999761581,image173,image26
13,1,10,B,memory-resp,#FFFFFF,#c337a2,image26,image300,NA,left,left,TRUE,1218.3000000715256,image300,image26
13,1,10,B,memory-resp,#2c6d31,#FFFFFF,image293,image26,NA,right,right,TRUE,1573.6999999284744,image293,image26
13,1,10,B,retrieval,NA,NA,NA,NA,image300,NA,image300,TRUE,4695.5,image300,image26
13,1,10,B,retrieval,NA,NA,NA,NA,image173,NA,image173,TRUE,1802.2000000476837,image173,image26
13,1,10,B,retrieval,NA,NA,NA,NA,image321,NA,image321,TRUE,6172.600000023842,image321,image26
13,1,10,B,retrieval,NA,NA,NA,NA,image293,NA,image293,TRUE,2265,image293,image26
13,1,11,B,memory-resp,#FFFFFF,#1fc76d,image26,image411,NA,left,left,TRUE,1333.5,image411,image26
13,1,11,B,memory-resp,#2712af,#FFFFFF,image223,image26,NA,right,right,TRUE,822.2999999523163,image223,image26
13,1,11,B,memory-resp,#FFFFFF,#af4b91,image26,image176,NA,left,left,TRUE,903.6000000238419,image176,image26
13,1,11,B,memory-resp,#FFFFFF,#adb50d,image26,image178,NA,left,left,TRUE,1400.0999999046326,image178,image26
13,1,11,B,retrieval,NA,NA,NA,NA,image411,NA,image178,FALSE,1309.2999999523163,image411,image26
13,1,11,B,retrieval,NA,NA,NA,NA,image223,NA,image223,TRUE,1472.5,image223,image26
13,1,11,B,retrieval,NA,NA,NA,NA,image176,NA,image176,TRUE,2507.7999999523163,image176,image26
13,1,11,B,retrieval,NA,NA,NA,NA,image178,NA,image411,FALSE,2020.9000000953674,image178,image26
13,1,12,B,memory-resp,#368c76,#FFFFFF,image92,image26,NA,right,right,TRUE,1240.7999999523163,image92,image26
13,1,12,B,memory-resp,#FFFFFF,#1d1881,image26,image331,NA,left,left,TRUE,891.7000000476837,image331,image26
13,1,12,B,memory-resp,#FFFFFF,#8a1443,image26,image413,NA,left,left,TRUE,1242.8999999761581,image413,image26
13,1,12,B,memory-resp,#FFFFFF,#7dba0d,image26,image412,NA,left,left,TRUE,753.3999999761581,image412,image26
13,1,12,B,retrieval,NA,NA,NA,NA,image92,NA,image92,TRUE,3319.399999976158,image92,image26
13,1,12,B,retrieval,NA,NA,NA,NA,image331,NA,image413,FALSE,2391.2999999523163,image331,image26
13,1,12,B,retrieval,NA,NA,NA,NA,image413,NA,image412,FALSE,4563.299999952316,image413,image26
13,1,12,B,retrieval,NA,NA,NA,NA,image412,NA,image412,TRUE,2788.899999976158,image412,image26
13,1,13,B,memory-resp,#FFFFFF,#90a21a,image26,image336,NA,left,left,TRUE,1440,image336,image26
