participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
5,2,P1,B,processing,#FFFFFF,#66bb3e,image405,10,image23,4.7,NA,left,left,TRUE,720.2000000476837,NA,NA
5,2,P2,B,processing,#7b1bb6,#FFFFFF,image10,10,image405,10,NA,right,right,TRUE,548.6000000238419,NA,NA
5,2,P2,B,processing,#3c8532,#FFFFFF,image398,150,image405,10,NA,right,right,TRUE,451.2999999523163,NA,NA
5,2,P2,B,processing,#FFFFFF,#9d4634,image405,10,image188,5,NA,left,left,TRUE,791.2999999523163,NA,NA
5,2,P2,B,processing,#FFFFFF,#1f748e,image405,10,image214,80,NA,left,left,TRUE,447.39999997615814,NA,NA
5,2,P3,B,processing,#FFFFFF,#663f92,image405,10,image132,15,NA,left,left,TRUE,557.6000000238419,NA,NA
5,2,P3,B,processing,#7a1f22,#FFFFFF,image255,4.5,image405,10,NA,right,right,TRUE,539.5,NA,NA
5,2,P3,B,processing,#649b36,#FFFFFF,image411,3.9,image405,10,NA,right,right,TRUE,430.5,NA,NA
5,2,P3,B,processing,#FFFFFF,#50939b,image405,10,image202,2.9,NA,left,left,TRUE,599.8000000715256,NA,NA
5,2,P4,B,processing,#FFFFFF,#4271b3,image405,10,image239,6,NA,left,left,TRUE,572.8000000715256,NA,NA
5,2,P4,B,processing,#FFFFFF,#745e2a,image405,10,image23,4.7,NA,left,left,TRUE,435.3000000715256,NA,NA
5,2,P4,B,processing,#97399d,#FFFFFF,image60,165,image405,10,NA,right,right,TRUE,599.9000000953674,NA,NA
5,2,P4,B,processing,#438444,#FFFFFF,image165,6.6,image405,10,NA,right,right,TRUE,425.10000002384186,NA,NA
5,2,P5,B,processing,#2b92ca,#FFFFFF,image287,7,image405,10,NA,right,right,TRUE,547.6000000238419,NA,NA
5,2,P5,B,processing,#53803c,#FFFFFF,image431,14.8,image405,10,NA,right,right,TRUE,435.2999999523163,NA,NA
5,2,P5,B,processing,#855132,#FFFFFF,image202,2.9,image405,10,NA,right,right,TRUE,425.1999999284744,NA,NA
5,2,P5,B,processing,#6f2895,#FFFFFF,image314,6.5,image405,10,NA,right,right,TRUE,511.5,NA,NA
5,2,P6,B,processing,#8f9220,#FFFFFF,image258,7,image405,10,NA,right,right,TRUE,588.1999999284744,NA,NA
5,2,P6,B,processing,#3e2cc9,#FFFFFF,image189,400,image405,10,NA,right,right,TRUE,404.09999990463257,NA,NA
5,2,P6,B,processing,#FFFFFF,#10b76c,image405,10,image61,6,NA,left,left,TRUE,1033.8000000715256,NA,NA
5,2,P6,B,processing,#a71b3e,#FFFFFF,image305,0.2,image405,10,NA,right,right,TRUE,1099.2999999523163,NA,NA
5,2,P7,B,processing,#FFFFFF,#943c10,image405,10,image216,500,NA,left,left,TRUE,714.7999999523163,NA,NA
5,2,P7,B,processing,#44c819,#FFFFFF,image99,16.5,image405,10,NA,right,right,TRUE,905,NA,NA
