participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
2,2,P17,D,processing,#FFFFFF,#a36f3e,image116,14.5,image328,40,NA,right,left,FALSE,1171.7000000029802,NA,NA
2,2,P17,D,processing,#FFFFFF,#954d99,image414,55,image423,5,NA,left,left,TRUE,1112.1000000089407,NA,NA
2,2,P17,D,processing,#FFFFFF,#4bb93c,image139,9.6,image305,0.2,NA,left,left,TRUE,1078.2000000029802,NA,NA
2,2,P17,D,processing,#FFFFFF,#14c3e6,image202,2.9,image230,999,NA,right,right,TRUE,1365.800000011921,NA,NA
2,2,P18,D,processing,#FFFFFF,#b11657,image201,20,image317,3,NA,left,left,TRUE,1131.7999999970198,NA,NA
2,2,P18,D,processing,#FFFFFF,#368c5e,image213,0.7,image4,7,NA,right,right,TRUE,1125.3999999910593,NA,NA
2,2,P18,D,processing,#FFFFFF,#30316e,image319,34,image86,4.5,NA,left,left,TRUE,1306.2999999970198,NA,NA
2,2,P18,D,processing,#92954b,#FFFFFF,image351,450,image278,21.6,NA,left,left,TRUE,1273.7000000029802,NA,NA
2,2,P19,D,processing,#358d7f,#FFFFFF,image198,6.8,image278,21.6,NA,right,left,FALSE,1645.0999999940395,NA,NA
2,2,P19,D,processing,#FFFFFF,#561cba,image350,3,image108,40,NA,right,right,TRUE,1619,NA,NA
2,2,P19,D,processing,#FFFFFF,#557e25,image420,150,image103,999,NA,right,right,TRUE,1064,NA,NA
2,2,P19,D,processing,#bb493e,#FFFFFF,image101,180,image370,58.5,NA,left,left,TRUE,2173,NA,NA
2,2,P20,D,processing,#21b024,#FFFFFF,image89,35,image394,10,NA,left,left,TRUE,1395.5999999940395,NA,NA
2,2,P20,D,processing,#FFFFFF,#2f8ac6,image329,8,image415,20,NA,right,right,TRUE,1147,NA,NA
2,2,P20,D,processing,#FFFFFF,#7c572d,image181,999,image166,30,NA,left,right,FALSE,1334.699999988079,NA,NA
2,2,P20,D,processing,#873c9a,#FFFFFF,image110,8,image107,200,NA,right,right,TRUE,1082.2999999970198,NA,NA
2,2,P21,D,processing,#FFFFFF,#9eb329,image368,18.5,image345,60,NA,right,right,TRUE,1221.9000000059605,NA,NA
2,2,P21,D,processing,#FFFFFF,#3eac93,image71,8,image343,16,NA,right,right,TRUE,1219,NA,NA
2,2,P21,D,processing,#c82d75,#FFFFFF,image173,999,image12,3,NA,left,left,TRUE,1064.6000000089407,NA,NA
2,2,P21,D,processing,#FFFFFF,#2a1f7f,image272,35,image198,6.8,NA,left,left,TRUE,1506.7999999970198,NA,NA
2,2,P22,D,processing,#FFFFFF,#3b7aba,image353,5,image186,999,NA,right,right,TRUE,1191.5,NA,NA
2,2,P22,D,processing,#FFFFFF,#a0520d,image378,13,image82,95,NA,right,right,TRUE,806.5999999940395,NA,NA
2,2,P22,D,processing,#FFFFFF,#88447e,image71,8,image414,55,NA,right,right,TRUE,848.7999999970198,NA,NA
2,2,P22,D,processing,#3f8f38,#FFFFFF,image167,17.4,image426,48,NA,right,left,FALSE,1067.5,NA,NA
2,2,P23,D,processing,#FFFFFF,#6d6e30,image424,52.2,image401,12,NA,left,left,TRUE,1106.5,NA,NA
2,2,P23,D,processing,#0d0dab,#FFFFFF,image189,400,image392,160,NA,left,left,TRUE,772.2999999970198,NA,NA
2,2,P23,D,processing,#98166c,#FFFFFF,image101,180,image278,21.6,NA,left,left,TRUE,1232.7999999970198,NA,NA
2,2,P23,D,processing,#0bb73c,#FFFFFF,image230,999,image26,45,NA,left,left,TRUE,794.1000000089407,NA,NA
2,2,P24,D,processing,#152499,#FFFFFF,image324,1.4,image88,3.5,NA,right,left,FALSE,1290.2000000029802,NA,NA
2,2,P24,D,processing,#34b268,#FFFFFF,image223,170,image230,999,NA,right,left,FALSE,801.2999999970198,NA,NA
2,2,P24,D,processing,#9ca90f,#FFFFFF,image226,70.2,image302,11,NA,left,left,TRUE,1288.699999988079,NA,NA
2,2,P24,D,processing,#FFFFFF,#a75279,image118,13.6,image159,120,NA,right,right,TRUE,1152.7000000029802,NA,NA
2,2,P25,D,processing,#47659a,#FFFFFF,image217,8.5,image299,300,NA,right,right,TRUE,1342.5999999940395,NA,NA
2,2,P25,D,processing,#FFFFFF,#b735c0,image425,700,image99,16.5,NA,left,left,TRUE,1531.3999999910593,NA,NA
2,2,P25,D,processing,#ea7d10,#FFFFFF,image241,90,image332,12.2,NA,left,left,TRUE,827.7000000029802,NA,NA
2,2,P25,D,processing,#FFFFFF,#28802a,image177,15,image134,7,NA,left,left,TRUE,1492.2999999970198,NA,NA
2,2,1,D,memory-resp,#FFFFFF,#c7233f,image397,0.5,image303,20,NA,right,right,TRUE,1425.5999999940395,image303,image303
2,2,1,D,memory-resp,#4aa57f,#FFFFFF,image423,5,image243,27.1,NA,right,left,FALSE,1268.5,image423,image243
2,2,1,D,memory-resp,#a5d70f,#FFFFFF,image431,14.8,image200,0.5,NA,left,left,TRUE,1261.699999988079,image431,image431
2,2,1,D,memory-resp,#FFFFFF,#262697,image313,10,image166,30,NA,right,right,TRUE,2163.7000000029802,image166,image166
2,2,1,D,retrieval,NA,NA,NA,NA,NA,NA,image423,NA,image423,TRUE,3015.8999999910593,image423,image303
2,2,1,D,retrieval,NA,NA,NA,NA,NA,NA,image431,NA,image431,TRUE,2628.699999988079,image431,image303
2,2,1,D,retrieval,NA,NA,NA,NA,NA,NA,image166,NA,image166,TRUE,1825,image166,image303
2,2,1,D,retrieval,NA,NA,NA,NA,NA,NA,image303,NA,image303,TRUE,3772.7999999970198,image303,image303
2,2,2,D,memory-resp,#FFFFFF,#983a5e,image176,170,image404,7.5,NA,left,left,TRUE,1513.2000000029802,image404,image176
2,2,2,D,memory-resp,#828736,#FFFFFF,image181,999,image5,27.1,NA,left,left,TRUE,1557.2999999970198,image181,image181
2,2,2,D,memory-resp,#FFFFFF,#312fc6,image273,999,image429,40,NA,left,left,TRUE,957.2000000029802,image429,image273
2,2,2,D,memory-resp,#11a663,#FFFFFF,image252,12,image209,5.5,NA,left,left,TRUE,1480.7000000029802,image252,image252
2,2,2,D,retrieval,NA,NA,NA,NA,NA,NA,image252,NA,image252,TRUE,985.8999999910593,image252,image176
2,2,2,D,retrieval,NA,NA,NA,NA,NA,NA,image404,NA,image404,TRUE,4107.20000000298,image404,image176
2,2,2,D,retrieval,NA,NA,NA,NA,NA,NA,image181,NA,image181,TRUE,1886.5,image181,image176
2,2,2,D,retrieval,NA,NA,NA,NA,NA,NA,image429,NA,image429,TRUE,2055.9000000059605,image429,image176
2,2,3,D,memory-resp,#FFFFFF,#608637,image72,3,image422,23,NA,right,right,TRUE,1471.0999999940395,image422,image422
2,2,3,D,memory-resp,#30c0bb,#FFFFFF,image361,26.5,image61,6,NA,left,left,TRUE,1230.4000000059605,image361,image361
2,2,3,D,memory-resp,#FFFFFF,#794baa,image298,12.4,image149,29.3,NA,right,right,TRUE,1838.7000000029802,image149,image149
2,2,3,D,memory-resp,#FFFFFF,#a85148,image89,35,image359,11,NA,left,right,FALSE,1348.7000000029802,image359,image89
2,2,3,D,retrieval,NA,NA,NA,NA,NA,NA,image422,NA,image422,TRUE,6570.79999999702,image422,image422
2,2,3,D,retrieval,NA,NA,NA,NA,NA,NA,image149,NA,image149,TRUE,2396.7999999970198,image149,image422
2,2,3,D,retrieval,NA,NA,NA,NA,NA,NA,image359,NA,image359,TRUE,3374.3999999910593,image359,image422
2,2,3,D,retrieval,NA,NA,NA,NA,NA,NA,image361,NA,image361,TRUE,1868.0999999940395,image361,image422
2,2,4,D,memory-resp,#FFFFFF,#713d71,image391,20,image284,200,NA,right,left,FALSE,1886.5,image284,image284
2,2,4,D,memory-resp,#FFFFFF,#286095,image52,800,image288,34,NA,left,left,TRUE,1300.6000000089407,image288,image52
2,2,4,D,memory-resp,#2a6f2f,#FFFFFF,image38,6.5,image207,24,NA,right,left,FALSE,1370.2000000029802,image38,image207
2,2,4,D,memory-resp,#FFFFFF,#ab5936,image328,40,image107,200,NA,right,right,TRUE,1458.2000000029802,image107,image107
2,2,4,D,retrieval,NA,NA,NA,NA,NA,NA,image288,NA,image288,TRUE,3759.2000000029802,image288,image284
2,2,4,D,retrieval,NA,NA,NA,NA,NA,NA,image38,NA,image38,TRUE,2406.9000000059605,image38,image284
2,2,4,D,retrieval,NA,NA,NA,NA,NA,NA,image107,NA,image107,TRUE,1861.300000011921,image107,image284
2,2,4,D,retrieval,NA,NA,NA,NA,NA,NA,image284,NA,image284,TRUE,2968.2000000029802,image284,image284
2,2,5,D,memory-resp,#FFFFFF,#927135,image7,3,image15,12,NA,right,right,TRUE,1637.5,image15,image15
2,2,5,D,memory-resp,#273f82,#FFFFFF,image102,700,image370,58.5,NA,left,right,FALSE,1044.1000000089407,image102,image102
2,2,5,D,memory-resp,#317d38,#FFFFFF,image351,450,image56,80,NA,left,left,TRUE,1438,image351,image351
2,2,5,D,memory-resp,#c01baa,#FFFFFF,image336,7,image429,40,NA,right,right,TRUE,1358,image336,image429
2,2,5,D,retrieval,NA,NA,NA,NA,NA,NA,image336,NA,image336,TRUE,1962.7000000029802,image336,image15
2,2,5,D,retrieval,NA,NA,NA,NA,NA,NA,image15,NA,image15,TRUE,3503.4000000059605,image15,image15
2,2,5,D,retrieval,NA,NA,NA,NA,NA,NA,image351,NA,image351,TRUE,3094.5,image351,image15
2,2,5,D,retrieval,NA,NA,NA,NA,NA,NA,image102,NA,image102,TRUE,1765.199999988079,image102,image15
2,2,6,D,memory-resp,#FFFFFF,#466d8b,image235,3.5,image141,30,NA,right,right,TRUE,1561.6000000089407,image141,image141
2,2,6,D,memory-resp,#8e662e,#FFFFFF,image420,150,image261,9.5,NA,left,left,TRUE,1156.5,image420,image420
2,2,6,D,memory-resp,#bb25a5,#FFFFFF,image32,105,image125,5.1,NA,left,left,TRUE,1075.2000000029802,image32,image32
2,2,6,D,memory-resp,#36a32e,#FFFFFF,image7,3,image295,7.1,NA,right,right,TRUE,1643.7999999970198,image7,image295
2,2,6,D,retrieval,NA,NA,NA,NA,NA,NA,image32,NA,image32,TRUE,2869.0999999940395,image32,image141
2,2,6,D,retrieval,NA,NA,NA,NA,NA,NA,image7,NA,image7,TRUE,1836.4000000059605,image7,image141
2,2,6,D,retrieval,NA,NA,NA,NA,NA,NA,image420,NA,image420,TRUE,1974.800000011921,image420,image141
2,2,6,D,retrieval,NA,NA,NA,NA,NA,NA,image141,NA,image141,TRUE,2116.6000000089407,image141,image141
2,2,7,D,memory-resp,#FFFFFF,#9dd11a,image49,20,image128,7.7,NA,left,left,TRUE,2112.6000000089407,image128,image49
2,2,7,D,memory-resp,#862b28,#FFFFFF,image195,160,image200,0.5,NA,left,left,TRUE,1207.8999999910593,image195,image195
2,2,7,D,memory-resp,#FFFFFF,#30b5ac,image269,45,image360,19,NA,left,left,TRUE,1284.7999999970198,image360,image269
2,2,7,D,memory-resp,#FFFFFF,#6d4dac,image102,700,image286,270,NA,left,left,TRUE,2464.2000000029802,image286,image102
