participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
45,3,13,B,memory-resp,#553c9f,#FFFFFF,image88,3.5,image405,10,NA,right,right,TRUE,1943,image88,image405
45,3,13,B,memory-resp,#FFFFFF,#2b7877,image405,10,image296,7,NA,left,left,TRUE,2380.9000000059605,image296,image405
45,3,13,B,memory-resp,#a55568,#FFFFFF,image13,15,image405,10,NA,right,right,TRUE,2807.5,image13,image405
45,3,13,B,retrieval,NA,NA,NA,NA,NA,NA,image35,NA,image35,TRUE,6313.100000008941,image35,image405
45,3,13,B,retrieval,NA,NA,NA,NA,NA,NA,image13,NA,image13,TRUE,6350.5999999940395,image13,image405
45,3,13,B,retrieval,NA,NA,NA,NA,NA,NA,image88,NA,image88,TRUE,5101.20000000298,image88,image405
45,3,13,B,retrieval,NA,NA,NA,NA,NA,NA,image296,NA,image296,TRUE,3482.7000000029802,image296,image405
45,3,14,B,memory-resp,#96c931,#FFFFFF,image195,160,image405,10,NA,right,NULL,FALSE,NA,image195,image405
45,3,14,B,memory-resp,#40347f,#FFFFFF,image65,450,image405,10,NA,right,right,TRUE,1675.0999999940395,image65,image405
45,3,14,B,memory-resp,#2ac08c,#FFFFFF,image161,8.7,image405,10,NA,right,right,TRUE,1816.9000000059605,image161,image405
45,3,14,B,memory-resp,#b82e65,#FFFFFF,image141,30,image405,10,NA,right,right,TRUE,1695.699999988079,image141,image405
45,3,14,B,retrieval,NA,NA,NA,NA,NA,NA,image65,NA,image65,TRUE,5197.29999999702,image65,image405
45,3,14,B,retrieval,NA,NA,NA,NA,NA,NA,image141,NA,image141,TRUE,5664.70000000298,image141,image405
45,3,14,B,retrieval,NA,NA,NA,NA,NA,NA,image195,NA,image195,TRUE,3856.7000000029802,image195,image405
45,3,14,B,retrieval,NA,NA,NA,NA,NA,NA,image161,NA,image65,FALSE,2375.699999988079,image161,image405
45,3,15,B,memory-resp,#bc294c,#FFFFFF,image345,60,image405,10,NA,right,right,TRUE,2647.4000000059605,image345,image405
45,3,15,B,memory-resp,#0bbc93,#FFFFFF,image107,200,image405,10,NA,right,right,TRUE,1544.699999988079,image107,image405
45,3,15,B,memory-resp,#4e387a,#FFFFFF,image259,30,image405,10,NA,right,right,TRUE,1836.9000000059605,image259,image405
45,3,15,B,memory-resp,#5d6d2c,#FFFFFF,image376,40,image405,10,NA,right,right,TRUE,2083.5,image376,image405
45,3,15,B,retrieval,NA,NA,NA,NA,NA,NA,image107,NA,image107,TRUE,6102.5999999940395,image107,image405
45,3,15,B,retrieval,NA,NA,NA,NA,NA,NA,image259,NA,image259,TRUE,3980.1000000089407,image259,image405
45,3,15,B,retrieval,NA,NA,NA,NA,NA,NA,image376,NA,image376,TRUE,9570.29999999702,image376,image405
45,3,15,B,retrieval,NA,NA,NA,NA,NA,NA,image345,NA,image345,TRUE,5727.79999999702,image345,image405
8,1,P1,C,processing,#31842a,#FFFFFF,image98,15,image405,10,NA,right,right,TRUE,1538.5999999940395,NA,NA
8,1,P1,C,processing,#FFFFFF,#885c30,image405,10,image402,30,NA,right,right,TRUE,2922.300000011921,NA,NA
8,1,P1,C,processing,#FFFFFF,#0e4a8b,image405,10,image123,4.8,NA,left,NULL,FALSE,NA,NA,NA
8,1,P1,C,processing,#FFFFFF,#c615bb,image405,10,image205,999,NA,right,right,TRUE,1988.2999999821186,NA,NA
8,1,P2,C,processing,#FFFFFF,#af9e3c,image405,10,image163,8,NA,right,right,TRUE,2128.4000000059605,NA,NA
8,1,P2,C,processing,#3f51ab,#FFFFFF,image140,2,image405,10,NA,right,right,TRUE,2090.5999999940395,NA,NA
8,1,P2,C,processing,#FFFFFF,#0daf1d,image405,10,image171,9.6,NA,right,right,TRUE,2174.9000000059605,NA,NA
8,1,P2,C,processing,#FFFFFF,#c01bb5,image405,10,image255,4.5,NA,left,right,FALSE,2167.9000000059605,NA,NA
8,1,P3,C,processing,#7b489d,#FFFFFF,image107,200,image405,10,NA,left,left,TRUE,2504.7999999821186,NA,NA
